index,pub,bar,restaurant,museum,cinema,art_center,shop
1,0,0,6,3,0,0,11
2,0,0,7,1,0,0,9
3,0,0,8,3,0,0,34
4,0,0,5,1,0,0,20
5,0,0,5,0,0,0,3
6,0,0,0,0,0,0,3
7,0,0,0,0,0,0,4
8,0,0,7,1,0,0,12
9,0,0,8,0,0,0,19
10,0,0,5,0,0,0,27
11,1,0,12,0,1,0,17
12,6,1,24,0,0,0,34
13,4,0,31,4,0,1,39
14,1,0,12,2,0,0,15
15,0,0,1,0,0,0,2
16,0,0,10,2,0,0,9
17,0,0,36,8,0,0,50
18,0,1,0,0,0,0,5
19,3,0,10,0,0,0,16
20,1,4,10,1,0,0,17
21,1,1,18,0,1,0,35
22,0,0,2,1,0,0,3
23,0,0,46,2,0,0,51
24,0,6,109,9,0,0,80
25,40,43,221,3,1,0,251
26,0,0,6,1,0,0,7
27,0,0,12,1,0,1,27
28,1,1,7,3,0,0,8
29,6,4,62,4,0,0,74
30,0,0,0,0,0,0,1
31,0,0,7,0,0,0,11
32,0,0,5,0,0,0,19
33,0,1,10,0,0,0,26
34,0,0,2,1,0,0,11
35,0,0,1,0,0,0,3
36,5,2,28,0,0,0,67
37,0,0,0,0,0,0,0
