,観光目的①,観光目的②,観光目的③,frequency
0,0,0,0,42
1,1,0,0,120
2,1,2,0,19
3,1,2,3,13
4,1,2,4,6
5,1,2,5,19
6,1,2,6,133
7,1,2,7,11
8,1,2,8,13
9,1,2,9,8
10,1,3,0,8
11,1,3,4,3
12,1,3,5,5
13,1,3,6,106
14,1,3,7,6
15,1,3,8,20
16,1,3,9,3
17,1,4,0,16
18,1,4,5,12
19,1,4,6,44
20,1,4,7,1
21,1,4,8,8
22,1,4,9,5
23,1,5,0,81
24,1,5,5,20
25,1,5,6,45
26,1,5,7,4
27,1,5,8,10
28,1,5,9,9
29,1,6,0,607
30,1,6,5,235
31,1,6,7,258
32,1,6,8,444
33,1,6,9,206
34,1,7,0,27
35,1,7,5,19
36,1,7,8,16
37,1,7,9,6
38,1,8,0,24
39,1,8,5,16
40,1,8,9,23
41,1,9,0,11
42,1,9,5,15
43,2,0,0,2
44,2,3,5,1
45,2,3,8,2
46,2,4,0,1
47,2,4,5,4
48,2,4,6,3
49,2,4,7,1
50,2,4,8,3
51,2,5,0,7
52,2,5,5,1
53,2,5,6,2
54,2,5,8,1
55,2,5,9,2
56,2,6,0,7
57,2,6,5,6
58,2,6,7,2
59,2,6,8,8
60,2,6,9,6
61,2,7,0,2
62,2,7,5,3
63,2,7,8,1
64,2,8,0,3
65,2,8,5,3
66,2,8,9,6
67,2,9,0,1
68,2,9,5,2
69,3,4,6,1
70,3,4,8,1
71,3,5,6,1
72,3,5,7,1
73,3,6,0,7
74,3,6,5,4
75,3,6,7,1
76,3,6,8,12
77,3,6,9,3
78,3,7,5,2
79,3,8,5,1
80,4,0,0,22
81,4,5,0,6
82,4,5,5,3
83,4,6,0,9
84,4,6,5,6
85,4,6,8,6
86,4,7,8,1
87,4,8,0,4
88,4,8,5,1
89,4,8,9,1
90,4,9,0,2
91,5,0,0,107
92,5,3,6,1
93,5,5,0,12
94,5,5,5,3
95,5,5,6,1
96,5,6,0,9
97,5,6,5,3
98,5,6,7,5
99,5,6,8,2
100,5,6,9,4
101,5,7,0,2
102,5,7,5,1
103,5,7,8,1
104,5,8,0,1
105,5,8,5,2
106,5,8,9,1
107,5,9,0,2
108,5,9,5,2
109,6,0,0,158
110,6,5,0,44
111,6,5,5,3
112,6,5,8,4
113,6,5,9,2
114,6,7,0,28
115,6,7,5,9
116,6,7,8,13
117,6,7,9,5
118,6,8,0,43
119,6,8,5,23
120,6,8,9,33
121,6,9,0,15
122,6,9,5,11
123,7,0,0,2
124,7,5,0,3
125,7,8,0,3
126,7,8,5,2
127,8,0,0,2
128,8,5,0,7
129,8,5,5,1
130,8,9,5,6
131,9,0,0,3
132,9,5,0,5
