,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,0,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
1,999999,0,1587,1817,4855,2490,2360,2092,2203,2704,2375,2760,3030,4209,3007,3159,3082,2710,3199,3042,3223,3650,4335,3384,3228,4410,3815,3645,3775,4423,4009,4020,4278,5500,4897,5349,18649
2,999999,1587,0,1119,4150,998,1734,1113,1513,1996,1298,2032,2325,3504,1515,1667,1722,1671,2494,2256,2479,2945,3630,2123,2161,3705,2553,2500,2694,3724,2804,3158,3134,4007,3753,4205,17944
3,999999,1817,1119,0,3154,1466,719,457,522,999,907,1079,1328,2507,1597,1729,1532,1099,1498,1361,1542,1949,2633,1835,1657,2708,2265,2095,2083,2728,2462,2339,2729,3970,3273,3800,16947
4,999999,4855,4150,3154,0,4075,2783,3141,2652,2220,3083,2196,1754,1651,3610,3616,3362,2816,1887,2664,2470,1770,1929,3560,3184,2249,3933,3721,3503,2793,4067,3460,4335,5801,4139,4762,16538
5,999999,2490,998,1466,4075,0,1918,1126,1451,1947,951,1889,2272,3408,941,1093,1147,1305,2318,1950,2197,2769,3497,1595,1803,3529,2039,2139,2336,3430,2370,2800,2750,3433,3394,3847,17701
6,999999,2360,1734,719,2783,1918,0,869,566,605,1315,748,931,2110,2013,2146,1949,1292,1100,1371,1264,1551,2236,2228,1875,2311,2648,2421,2203,2362,2767,2218,3035,4387,3152,3760,16550
7,999999,2092,1113,457,3141,1126,869,0,589,1071,750,1109,1401,2579,1440,1572,1375,952,1570,1337,1560,2021,2705,1678,1505,2781,2108,1938,1936,2800,2305,2314,2572,3813,3191,3643,17019
8,999999,2203,1513,522,2652,1451,566,589,0,568,802,564,906,2084,1498,1630,1433,800,1069,946,1027,1520,2210,1720,1383,2280,2140,1963,1771,2252,2296,1924,2563,3871,2858,3463,16524
9,999999,2704,1996,999,2220,1947,605,1071,568,0,1167,371,438,1614,1866,1966,1756,1073,608,1125,927,1059,1740,2021,1645,1818,2394,2182,1964,1871,2528,1987,2796,4204,2782,3513,16057
10,999999,2375,1298,907,3083,951,1315,750,802,1167,0,1005,1485,2524,812,945,747,421,1434,1072,1319,1885,2613,1050,947,2645,1481,1309,1492,2552,1676,1965,1943,3186,2562,3015,16824
11,999999,2760,2032,1079,2196,1889,748,1109,564,371,1005,0,512,1616,1510,1610,1400,717,526,765,566,977,1705,1660,1285,1737,2033,1821,1603,1707,2167,1617,2435,3848,2550,3160,15979
12,999999,3030,2325,1328,1754,2272,931,1401,906,438,1485,512,0,1196,1981,2058,1804,1188,345,1118,923,664,1322,2013,1638,1428,2386,2174,1956,1578,2520,1960,2788,4254,2754,3443,15688
13,999999,4209,3504,2507,1651,3408,2110,2579,2084,1614,2524,1616,1196,0,3065,2833,2579,2260,1256,1870,1622,906,247,2684,2305,708,3055,2834,2599,1606,3158,2399,3311,4807,3044,3667,15062
14,999999,3007,1515,1597,3610,941,2013,1440,1498,1866,812,1510,1981,3065,0,383,557,891,1904,1473,1719,2355,3083,932,1225,3111,1375,1462,1716,2878,1693,2188,2073,2740,2778,3223,17157
15,999999,3159,1667,1729,3616,1093,2146,1572,1630,1966,945,1610,2058,2833,383,0,240,923,1755,1158,1404,2049,2777,590,884,2769,1034,1120,1374,2536,1351,1847,1731,2391,2437,2881,16815
16,999999,3082,1722,1532,3362,1147,1949,1375,1433,1756,747,1400,1804,2579,557,240,0,686,1519,922,1169,1813,2541,453,726,2572,896,978,1232,2394,1209,1705,1589,2433,2295,2739,16673
17,999999,2710,1671,1099,2816,1305,1292,952,800,1073,421,717,1188,2260,891,923,686,0,1119,656,903,1503,2231,973,639,2263,1380,1208,1152,2136,1554,1631,1820,3137,2367,2793,16408
18,999999,3199,2494,1498,1887,2318,1100,1570,1069,608,1434,526,345,1256,1904,1755,1519,1119,0,827,632,501,1229,1723,1347,1261,2096,1883,1665,1340,2229,1659,2497,3963,2454,3186,15500
19,999999,3042,2256,1361,2664,1950,1371,1337,946,1125,1072,765,1118,1870,1473,1158,922,656,827,0,262,1050,1726,916,544,1689,1318,1106,893,1487,1439,964,1706,3121,1899,2504,15759
20,999999,3223,2479,1542,2470,2197,1264,1560,1027,927,1319,566,923,1622,1719,1404,1169,903,632,262,0,808,1484,1120,744,1446,1495,1283,1065,1245,1624,1073,1891,3393,2008,2615,15516
21,999999,3650,2945,1949,1770,2769,1551,2021,1520,1059,1885,977,664,906,2355,2049,1813,1503,501,1050,808,0,756,1858,1479,788,2229,2017,1799,1017,2358,1683,2591,4110,2361,2985,15027
22,999999,4335,3630,2633,1929,3497,2236,2705,2210,1740,2613,1705,1322,247,3083,2777,2541,2231,1229,1726,1484,756,0,2550,2173,458,2921,2601,2365,1357,2924,2165,3081,4577,2813,3437,14812
23,999999,3384,2123,1835,3560,1595,2228,1678,1720,2021,1050,1660,2013,2684,932,590,453,973,1723,916,1120,1858,2550,0,355,2202,492,553,807,1970,785,1280,1164,2462,1870,2314,16249
24,999999,3228,2161,1657,3184,1803,1875,1505,1383,1645,947,1285,1638,2305,1225,884,726,639,1347,544,744,1479,2173,355,0,1908,777,578,606,1683,921,1085,1188,2780,1755,2181,15955
25,999999,4410,3705,2708,2249,3529,2311,2781,2280,1818,2645,1737,1428,708,3111,2769,2572,2263,1261,1689,1446,788,458,2202,1908,0,2562,2229,1993,878,2552,1780,2674,4157,2337,2960,14303
26,999999,3815,2553,2265,3933,2039,2648,2108,2140,2394,1481,2033,2386,3055,1375,1034,896,1380,2096,1318,1495,2229,2921,492,777,2562,0,481,805,1968,713,1269,1092,2043,1798,2242,16336
27,999999,3645,2500,2095,3721,2139,2421,1938,1963,2182,1309,1821,2174,2834,1462,1120,978,1208,1883,1106,1283,2017,2601,553,578,2229,481,0,323,1486,369,788,668,2227,1372,1819,16011
28,999999,3775,2694,2083,3503,2336,2203,1936,1771,1964,1492,1603,1956,2599,1716,1374,1232,1152,1665,893,1065,1799,2365,807,606,1993,805,323,0,1244,579,478,845,2446,1339,1767,15769
29,999999,4423,3724,2728,2793,3430,2362,2800,2252,1871,2552,1707,1578,1606,2878,2536,2394,2136,1340,1487,1245,1017,1357,1970,1683,878,1968,1486,1244,0,1738,913,1806,3302,1538,2162,14526
30,999999,4009,2804,2462,4067,2370,2767,2305,2296,2528,1676,2167,2520,3158,1693,1351,1209,1554,2229,1439,1624,2358,2924,785,921,2552,713,369,579,1738,0,812,456,2030,1260,1651,16210
31,999999,4020,3158,2339,3460,2800,2218,2314,1924,1987,1965,1617,1960,2399,2188,1847,1705,1631,1659,964,1073,1683,2165,1280,1085,1780,1269,788,478,913,812,0,1018,2592,957,1662,15440
32,999999,4278,3134,2729,4335,2750,3035,2572,2563,2796,1943,2435,2788,3311,2073,1731,1589,1820,2497,1706,1891,2591,3081,1164,1188,2674,1092,668,845,1806,456,1018,0,1601,953,1237,16217
33,999999,5500,4007,3970,5801,3433,4387,3813,3871,4204,3186,3848,4254,4807,2740,2391,2433,3137,3963,3121,3393,4110,4577,2462,2780,4157,2043,2227,2446,3302,2030,2592,1601,0,1963,1765,17606
34,999999,4897,3753,3273,4139,3394,3152,3191,2858,2782,2562,2550,2754,3044,2778,2437,2295,2367,2454,1899,2008,2361,2813,1870,1755,2337,1798,1372,1339,1538,1260,957,953,1963,0,791,15829
35,999999,5349,4205,3800,4762,3847,3760,3643,3463,3513,3015,3160,3443,3667,3223,2881,2739,2793,3186,2504,2615,2985,3437,2314,2181,2960,2242,1819,1767,2162,1651,1662,1237,1765,791,0,16453
36,999999,18649,17944,16947,16538,17701,16550,17019,16524,16057,16824,15979,15688,15062,17157,16815,16673,16408,15500,15759,15516,15027,14812,16249,15955,14303,16336,16011,15769,14526,16210,15440,16217,17606,15829,16453,0
